Question	Document ID	Title	RAG+RAIN_Flesh-Kincaid-Readability_BERT_BERT
What do you need my phone number for?	privacy-Notice-8	Privacy Notice	" We use your phone number to communicate with you about your orders, deliveries, and other important information related to your Amazon account. We may also use it to contact you if we need to resolve a problem with your order or account.
"
Do you need to know my time zone?	privacy-Notice-8	Privacy Notice	" Yes, we use your time zone to provide you with accurate information and to personalize your experience. For example, Alexa can give you the weather and news for your location, and remind you of appointments and events based on your time zone.
"
Why do you record my voice?	privacy-FAQ-1	Privacy FAQ	" We record your voice to provide and improve our services. For example, we use your voice recordings to process your requests to Alexa, like playing music, setting alarms, or answering questions. We also use your voice recordings to improve our speech recognition and natural language understanding systems using machine learning. This helps Alexa understand and respond to the variation in our customers’ speech patterns, dialects, accents, and vocabulary and the acoustic environments where customers use Alexa.
"
Can the assistant pull information from my phone's calendar?	privacy-Notice-8	Privacy Notice	" No, Alexa cannot access your phone's calendar without your permission. However, you can link your calendar to Alexa, allowing you to view your calendar events and add new events using voice commands.
"
Does the assistant have access to my contacts?	privacy-Notice-8	Privacy Notice	" By default, Alexa does not access your contacts without your permission. However, you can allow Alexa to access your contacts to make calls or send messages using the Alexa app or certain Alexa-enabled devices. You can manage these permissions in the Alexa app or your device settings.
"
What's my address?	privacy-Notice-8	Privacy Notice	" I cannot directly access your personal information, but you can find it in the ""Your Account"" section of the Amazon website.
"
What is my name?	privacy-Notice-8	Privacy Notice	" I'm unable to access or disclose specific information about you, including your name, without your consent. You can view and manage your personal information in the ""Your Account"" section of Amazon's website.
"
Do you know my phone number?	privacy-Notice-8	Privacy Notice	" I don't have access to your personal information unless it has been shared with me in the course of providing Amazon Services or you have given me permission to access it. However, I can help you find where to access or change your phone number in your Amazon account settings.
"
How do you process my audio recordings?	privacy-FAQ-6	Privacy FAQ	" When you speak to Alexa, a recording of your request is sent to Amazon's cloud, where we process your request and other information to respond to you. For example, when you ask, ""Alexa, play top hits on Amazon Music,"" we use the recording of your request and information from Amazon Music to play top hits.
"
Does the assistant turn on my mic without my knowledge?	privacy-FAQ-4	Privacy FAQ	" No, the assistant does not turn on your mic without your knowledge. The device detects the wake word by identifying acoustic patterns that match the wake word. No audio is stored or sent to the cloud unless the device detects the wake word or you press the action button. You can also turn off the microphone manually by pressing the microphone off button.
"
Is my calendar stored on the device?	privacy-FAQ-1	Privacy FAQ	" By default, Alexa does not access or store your calendar data on your device. However, you can allow Alexa to access your calendar data in the cloud, such as from Google Calendar or Outlook Calendar, to help you manage your schedule and set reminders.
"
Do they keep my contacts' information?	privacy-Notice-11	Privacy Notice	" Yes, they might receive information about your contacts from other sources, such as updated delivery and address information from their carriers, which they use to correct their records and deliver your next purchase more easily.
"
How long will my location history be kept?	privacy-Notice-11	Privacy Notice	" We keep your location history for as long as it is required in order to fulfil the relevant purposes described in our Privacy Notice, or as otherwise communicated to you. For example, we retain your location history so that you can view your past locations and use location-based services like Find My Phone.
"
For how long would my name be stored in the database?	privacy-Notice-11	Privacy Notice	" We keep your personal information to enable your continued use of Amazon Services, for as long as it is required in order to fulfill the relevant purposes described in our Privacy Notice, or as otherwise communicated to you. For example, we retain your transaction history and your name, so that you can review past purchases and repeat orders if desired.
"
Is the information on my time zone stored?	privacy-Notice-8	Privacy Notice	" Yes, we collect information about your interaction with content and services available through Amazon Services, including your location data, which may include your time zone. This information is used to provide and continually improve our products and services.
"
Do you store my voice recordings locally or on a server?	privacy-FAQ-7	Privacy FAQ	" Alexa is designed to process your requests locally on your device, but for certain features, Alexa sends audio to the cloud. For example, when you make a call or send a message or announcement via Alexa, or when you create a voice ID, the audio recordings used to teach Alexa your voice will be sent to the cloud. Text transcripts of your requests are also sent to the cloud so Alexa can respond to your request. You can review and delete those transcripts in your Voice History.
"
What is the latest privacy policy in regards to processing my voice?	privacy-FAQ-6	Privacy FAQ	" Our privacy policy explains how we collect, use, and share your voice recordings. We use your voice recordings to provide and improve our services and develop new features. We also provide you with controls to manage your voice recordings, including the ability to review, delete, and disable the collection and use of your voice recordings. You can manage these settings in the Alexa app under Settings > Alexa Privacy > Manage Your Alexa Data.
"
Why is all my contacts' personal information needed?	privacy-Notice-2	Privacy Notice	" We collect and use your contacts' personal information to provide you with features and functionality on Amazon Services, such as the ability to call or message your contacts using Alexa. We also use this information to help you and your contacts connect and communicate with each other on Amazon Services.
"
How can you guarantee my location information is secure?	privacy-Notice-6	Privacy Notice	" We maintain physical, electronic, and procedural safeguards in connection with the collection, storage, and disclosure of personal customer information. Our security procedures mean that we may ask to verify your identity before we disclose personal information to you. We also recommend that you protect against unauthorized access to your password and to your computers, devices, and applications. We suggest using a unique password for your Amazon account that is not utilized for other online accounts. Be sure to sign off when you finish using a shared computer.
"
Why do you know my location?	privacy-Notice-8	Privacy Notice	" We use your location to provide and improve our services. For example, we use your location to determine the delivery address for your orders, provide location-based services like traffic updates, and help you find nearby stores or restaurants.
"
