Question,Designed_Answer_2,context_adherence,completeness,correctness,answer_relevancy,readability_LLM_eval_Trott,bleu_score,rouge_1,bert_score,readability_score,readability_grade,lexical_diversity,text_length
Does it save my email contacts and sell it to 3rd parties?,"We do not sell any personal information to others or share your personal information with skill developers. However, you might grant us permission to share information with certain skill providers. You can manage these granted permissions at any time in your Alexa Privacy Settings in the Alexa App.",100.0,85.0,,85.0,90,14.254844602738302,0.56,0.897064208984375,55.24,9,0.7708333333333334,48
Do you share my location with other people?,"We may share your location with apps and websites that use your location for example to provide directions, weather information, or information on local attractions or restaurants. Please carefully review the privacy policies to understand how it works and how each app or website provider will use your location information.",95.0,70.0,100.0,,85,17.029649986060043,0.5,0.9105820655822754,37.64,14,0.8,50
Are you sharing my name?,"By default, I do not share your personal data with skill developers. If you would like to grant this permission, check out Alexa privacy in Amazon setting.",100.0,95.0,,,90,0.3850227733006978,0.2456140350877192,0.8718642592430115,66.23,7,1.0,27
Who has access to my phone number?,"To enable Alexa calling, we keep your phone number.",80.0,60.0,80.0,,100,0.5542598941970845,0.2352941176470588,0.876501202583313,87.72,3,1.0,9
Who has access to my time zone?,"Your time zone information is not sold to others. Access to your time zone information is limited to third-party service providers who need it to perform their functions such as fulfilling orders and delivering packages. It may also be disclosed in case of a business transfer. These third-party service providers have access to your time zone information needed to perform their functions, but may not use it for other purposes.",50.0,85.0,80.0,95.0,85,2.619466043841829,0.1818181818181818,0.8371978998184204,53.71,11,0.7,70
Who can access my voice recordings?,You can review voice recordings of your device in your account.,,20.0,75.0,27.0,95,0.147253903258009,0.2857142857142857,0.8610128164291382,77.23,4,0.9090909090909092,11
What does the privacy policy say in regards to saving my name?,"Our privacy policy states that you might supply us with your name by using our services. You can access this information at any time in your Amazon Account. We never share your name with Third-Party Advertising Services. Instead, we use advertising identifiers like a cookie to share information that allows them to serve you with more useful Amazon ads.",95.0,60.0,85.0,87.0,85,12.882655507026518,0.4971098265895953,0.8813039064407349,56.45,9,0.8135593220338984,59
Why do you know my age?,By using our services you might supply us with personal information such as your age.,95.0,60.0,60.0,85.0,95,4.166818730945971,0.4333333333333333,0.8771945238113403,64.71,8,1.0,15
Why do you know my calendar appointments?,A calendar may be linked to your Alexa. Anyone with access to your Alexa may manage events. The Alexa Calendar is stored in the cloud. You can unlink your calendar anytime through the Alexa App.,50.0,30.0,,70.0,95,1.333926490215405,0.109090909090909,0.8198729157447815,87.92,3,0.7714285714285715,35
Why did you add all my contacts' phone numbers to my contact book?,"We use your mobile device contacts to help you call, message, and connect with your friends and family. For outbound calls, you can set up to 10 phone numbers in the United States, Canada, Mexico, and the United Kingdom for free. Please visit your manage contacts to see more information.",77.0,,63.0,65.0,90,9.674281253598872,0.4191616766467065,0.8791532516479492,71.44,8,0.8,50
Why do you know my email address?,We automatically collect and store your email address to provide and continually improve our services.,90.0,85.0,80.0,88.0,96,4.439167227663632,0.4615384615384615,0.8690564632415771,30.87,10,0.9333333333333332,15
For what purpose is my name collected?,"We collect your name to provide you with a more personalised experience. For example, we will use your name for our voice ID service that allows Alexa to call you by your name. You can also grant us permission to share your name with a skill developer for example if you're using a restaurant booking skill to make a reservation.",85.0,80.0,88.0,95.0,90,4.6006618989023425,0.4671532846715329,0.8789120316505432,68.1,8,0.75,60
What do you need my phone number for?,When you use Alexa Calling to call someone via Alexa we will display your mobile phone number as a caller ID. You can change the setting in your contact card in the Alexa App.,80.0,70.0,85.0,60.0,90,0.2630109967222517,0.2666666666666666,0.8660917282104492,88.06,6,0.8529411764705882,34
Do you need to know my time zone?,"When you interact with our products or services we might automatically receive information on your time zone. In addition, your device's location is used for providing time or weather information. You can change your location at any time by editing your device location on your Alexa App.",75.0,75.0,100.0,75.0,95,2.281492087213779,0.2857142857142857,0.8602132201194763,55.54,10,0.7872340425531915,47
Why do you record my voice?,Your recordings are used to help me answer your questions and requests as well as improve your experience.,90.0,20.0,50.0,85.0,100,0.0184998653776781,0.1805555555555555,0.862151026725769,70.13,10,0.8888888888888888,18
Can the assistant pull information from my phone's calendar?,"You can give permission to Alexa to add, delete, or update your Calendar events and also link your calendar in the Alexa app. If anyone else is using your Alexa devices, the content of your calendar might be available to them.",100.0,90.0,100.0,,95,32.47114060288119,0.6947368421052632,0.933204174041748,67.59,8,0.7804878048780488,41
Does the assistant have access to my contacts?,"We request access to your mobile device contacts to help you call, message and connect with friends. You can manage the permissions you grant to the Alexa App in your mobile device settings.",70.0,70.0,90.0,90.0,95,6.064947102318226,0.4507042253521127,0.9121875166893004,71.65,7,0.7878787878787878,33
What's my address?,"You have shared with me your address. To edit, change, or delete your address, refer to Amazon settings.",60.0,30.0,90.0,40.0,100,1.2790257719708376,0.2222222222222222,0.8126256465911865,87.72,3,0.9444444444444444,18
What is my name?,"I will not disclose your name as part of my privacy policy. To see if you have already provided your name to Amazon Services, please refer to your personal profile under your account.",85.0,60.0,100.0,60.0,90,2.2212925276764044,0.2626262626262626,0.8514451384544373,63.19,8,0.8484848484848485,33
Do you know my phone number?,By using our services you might supply us with your phone number.,100.0,70.0,80.0,50.0,95,0.9252985916071592,0.3076923076923077,0.8586169481277466,84.68,4,1.0,12
How do you process my audio recordings?,Our Alexa and Echo devices are to record as little audio as possible and minimize the amount of background noise streamed to the cloud if a wake word is detected.,100.0,35.0,95.0,63.0,85,1.4235155474416403,0.3295454545454545,0.9014822840690612,66.41,8,0.8666666666666667,30
Does the assistant turn on my mic without my knowledge?,"Your Alexa device is only enabled through the wake word. Anytime your Echo device detects the wake word, a visual or audible indicator will signal it is recording audio to stream to the cloud, and you can review and delete the voice recordings associated with your account.",75.0,60.0,90.0,85.0,90,6.240319854890273,0.4455445544554455,0.8900625109672546,56.08,10,0.8085106382978723,47
Is my calendar stored on the device?,We store a copy of your calendar in the cloud so that you can manage your events using Alexa. You can unlink your calendar in the Alexa Settings in your Alexa App.,95.0,65.0,100.0,85.0,98,23.097775770021315,0.6181818181818182,0.9295830130577089,80.62,5,0.71875,32
Do they keep my contacts' information?,"If you use Alexa Communication to communicate with friends and family via Alexa, you will be asked to import your contacts from your device. They will be updated when you open the Alexa App. To delete contacts you can disable contact import or delete them manually by selecting the corresponding contact card in your Alexa App.",88.0,70.0,100.0,90.0,90,12.13643968398175,0.5487804878048781,0.9226905107498168,60.95,11,0.7142857142857143,56
How long will my location history be kept?,"You can delete the location history collected by Enhanced Location Services in your Amazon account in the content and device section or by contacting customer service. However, this process is limited to data collected through Enhanced Location Services, collections by other devices will not be deleted.",95.0,50.0,,30.0,85,24.130336698187644,0.6964285714285714,0.9365665912628174,31.21,16,0.8478260869565217,46
For how long would my name be stored in the database?,You can remove an Alexa Profile including your name at any time by visiting the Alexa Profile Settings. The account holder's profile cannot be removed.,40.0,25.0,100.0,30.0,90,0.7356918657434068,0.1558441558441558,0.8119431138038635,67.25,8,0.92,25
Is the information on my time zone stored?,"To provide you with a personalized experience, we save your time zone.",30.0,45.0,70.0,95.0,100,0.2147564732120395,0.1587301587301587,0.8307806849479675,59.3,7,1.0,12
Do you store my voice recordings locally or on a server?,"By default, your recording is sent to the cloud to process your request. You can choose to not send voice recordings but only text transcripts of your request to the cloud.",75.0,60.0,,80.0,90,0.0061224623647885,0.1656050955414013,0.8553256392478943,89.58,7,0.8064516129032258,31
