Question,Rag_Rain_comp,context_adherence,completeness,correctness,answer_relevancy,readability_LLM_eval_Trott,bleu_score,rouge_1,bert_score,readability_score,readability_grade,lexical_diversity,text_length,Rag_Rain_dishon,Rag
Who can access my voice recordings?," Your voice recordings are associated with your Amazon account and can be accessed by you through the Alexa privacy settings in the Alexa app or on the Alexa Privacy website. Amazon employees do have access to anonymized voice recordings to improve Alexa's speech recognition and natural language understanding. However, these recordings are not linked to any personally identifiable information.
",90.0,75.0,93.0,85.0,90,4.235319003006122,0.4761904761904762,0.869966983795166,43.02,13,0.7966101694915254,59,,
What does the privacy policy say in regards to saving my name?," According to the privacy policy, your personal information is kept for as long as it is required in order to fulfill the purposes described in the policy, or as otherwise communicated to you. It's used to enable your continued use of Amazon Services and to improve the relevancy of products and content recommended to you.
",95.0,60.0,70.0,40.0,90,0.8504439985217588,0.2485207100591715,0.8298605680465698,35.1,10,0.6909090909090909,55,,
Why do you know my age?," We don't have access to your age unless you have provided it to us. We may ask for your age to ensure that certain products or services are appropriate for you. For example, some products or services have age restrictions.
",95.0,75.0,90.0,85.0,90,2.923597632099356,0.3255813953488372,0.859279453754425,74.9,6,0.7,40,,
Why do you know my calendar appointments?," We do not access or store your calendar information unless you have given us permission to do so. If you use the Alexa Calendar Skill, you can add, modify, and delete calendar events, and Alexa can read your calendar events to you.
",85.0,75.0,90.0,85.0,90,2.3294227591923544,0.2258064516129032,0.8411020636558533,67.08,7,0.7619047619047619,42,,
Why did you add all my contacts' phone numbers to my contact book?," We do not add your contacts' phone numbers to your contact book without your consent. However, if you have given us permission to access your contacts, we may suggest phone numbers to you as potential matches for voice ID or for contact suggestions. We do not store your contacts' phone numbers unless you add them to your own contact book.
",,50.0,85.0,85.0,90,0.8915972630798126,0.2485875706214689,0.8406997919082642,68.1,9,0.6333333333333333,60,,
Why do you know my email address?," Your email address is used to communicate with you, send you updates about your orders, and to send you promotional emails if you have subscribed to our newsletter.
",90.0,15.0,100.0,80.0,95,2.0234373374008245,0.282051282051282,0.8295326232910156,59.98,9,0.8214285714285714,28,,
For what purpose is my name collected?," Your name is collected to provide, troubleshoot, and improve Amazon Services. It's used to identify you and to communicate with you about orders, products, and services. It's also used to personalize your experience with Amazon Services, such as voice recognition for Alexa.
",85.0,80.0,85.0,95.0,90,5.378152324274614,0.3833333333333333,0.8815739154815674,57.27,11,0.7619047619047619,42,,
What do you need my phone number for?," We use your phone number to communicate with you about your orders, deliveries, and other important information related to your Amazon account. We may also use it to contact you if we need to resolve a problem with your order or if there's an issue with your account.
",40.0,60.0,92.0,100.0,95,0.6523154218319447,0.2666666666666666,0.837919294834137,55.58,11,0.7083333333333334,48,,
Do you need to know my time zone?," Yes, knowing your time zone helps us to deliver information and services relevant to your location. For example, it allows us to provide you with local weather updates, news, and promotions.
",80.0,75.0,100.0,100.0,95,3.0278098260720054,0.2702702702702703,0.8631171584129333,55.74,10,0.8387096774193549,31,,
Why do you record my voice?," We record your voice to provide and improve our services. For example, we use your voice recordings to recognize your voice and respond to your requests. We also use your voice recordings to train our speech recognition and natural language understanding systems using machine learning. This helps Alexa understand and respond to a wide range of customer requests and improve over time.
",,45.0,90.0,90.0,85,3.5380823243808406,0.3723404255319149,0.8719658851623535,64.2,8,0.6612903225806451,62,,
Can the assistant pull information from my phone's calendar?," Yes, with your permission, Alexa can access your calendar on your phone to help you manage your schedule. You can ask Alexa to add, modify, or delete calendar events. You can also ask Alexa to check your schedule for the day, find upcoming events, or set reminders based on your calendar.
",85.0,100.0,100.0,,95,3.679073892694009,0.438095238095238,0.894620954990387,71.14,7,0.6862745098039216,51,,
Does the assistant have access to my contacts?," No, by default, Alexa does not access your contacts. However, you can give Alexa permission to access your contacts to make calls or send messages on your behalf. You can manage these permissions in the Alexa app.
",85.0,75.0,100.0,97.0,90,1.9702670915851277,0.2876712328767123,0.8820471167564392,75.91,8,0.8108108108108109,37,,
What's my address?," I cannot directly access or provide your address. However, you can find it in the ""Your Account"" section of Amazon's website.
",70.0,85.0,100.0,60.0,90,2.3847124361709544,0.2413793103448276,0.8140472173690796,60.82,8,1.0,21,,
What is my name?," I'm unable to access or provide your name directly. However, you can find and manage your personal information, including your name, in the ""Your Account"" section of the Amazon website.
",90.0,65.0,95.0,57.0,90,1.640442611912737,0.2268041237113402,0.8565307259559631,56.25,10,0.9,30,,
Do you know my phone number?," I don't have access to your personal information unless it has been shared with me in the course of providing Amazon Services or you have given me permission to access it. However, I can help you find where to access or change your phone number in your Amazon account settings.
",85.0,80.0,95.0,80.0,95,3.879506144619563,0.3269230769230769,0.8497810363769531,63.02,7,0.74,50,,
How do you process my audio recordings?," When you speak to Alexa, a recording of what you asked Alexa is sent to Amazon's cloud, where we process your request and other information to respond to you. For example, when you ask, ""Alexa, play top hits on Amazon Music,"" we use the recording of your request and information from Amazon Music to play top hits. We also use your recordings to improve Alexa's speech recognition and natural language understanding systems using machine learning. This training relies in part on supervised machine learning, where humans review an extremely small sample of requests to help Alexa understand the correct interpretation of a request and provide the appropriate response in the future.
",50.0,60.0,100.0,95.0,85,1.2710920174412363,0.2857142857142857,0.8431186676025391,51.72,12,0.6936936936936937,111,,
Does the assistant turn on my mic without my knowledge?," No, the assistant does not turn on your mic without your knowledge. The device detects the wake word by identifying acoustic patterns that match the wake word. No audio is stored or sent to the cloud unless the device detects the wake word or you press the action button. You can also turn off the microphone manually by pressing the microphone off button.
",50.0,60.0,95.0,100.0,95,2.6596328679825785,0.3119266055045871,0.8467326760292053,72.36,8,0.6825396825396826,63,,
Is my calendar stored on the device?," By default, Alexa does not access or store your calendar data on your device. However, you can allow Alexa to access your calendar data in the cloud, such as from Google Calendar or Outlook Calendar, so that Alexa can provide you with calendar information, such as upcoming appointments and events.
",85.0,85.0,100.0,,90,4.45967267302648,0.3835616438356165,0.8987262845039368,46.1,12,0.74,50,,
Do they keep my contacts' information?," Yes, Amazon keeps your transaction history and addresses you have shipped orders to. This information is used to improve the relevancy of products and content they recommend to you. However, they do not share your contacts' information with third parties unless it is necessary to provide the service or required by law.
",,30.0,100.0,80.0,90,0.4074103668783164,0.1625,0.828614354133606,53.92,11,0.8461538461538461,52,,
How long will my location history be kept?," We keep your location history for as long as it is required in order to fulfil the relevant purposes described in our Privacy Notice, or as otherwise communicated to you. For example, we may keep your location history to enable location-based services, to improve the relevancy of products and content we recommend, or to provide you with location-specific information.
",40.0,85.0,80.0,75.0,90,1.7589379361978317,0.3149606299212598,0.8362773060798645,24.61,18,0.7627118644067796,59,,
For how long would my name be stored in the database?," We keep your personal information to enable your continued use of Amazon Services, for as long as it is required in order to fulfill the relevant purposes described in our Privacy Notice, or as otherwise communicated to you. For example, we retain your transaction history so that you can review past purchases and what addresses you have shipped orders to, and to improve the relevancy of products and content we recommend.
",90.0,70.0,90.0,40.0,90,44.920984586736026,0.6393442622950819,0.9245262742042542,26.98,-1,0.8028169014084507,71,,
Is the information on my time zone stored?," Yes, we collect and store information about your time zone to provide you with the most accurate and relevant information and services. For example, we use your time zone to determine when to send you notifications or to display localized information.
",50.0,60.0,70.0,100.0,95,1.2812155539037435,0.3260869565217391,0.8417648077011108,42.21,12,0.7317073170731707,41,,
Do you store my voice recordings locally or on a server?," Alexa is designed to process your requests locally on your device, but for certain features, Alexa sends audio to the cloud. For example, if you make a call or send a message or announcement via Alexa, or if you enable Alexa Emergency Assist, Alexa will send audio to the cloud. Text transcripts of your requests are also sent to the cloud so Alexa can respond to your request. You can review and delete those transcripts in your Voice History.
",65.0,60.0,95.0,90.0,93,3.896707908523175,0.3977900552486187,0.8865283131599426,76.76,9,0.6835443037974683,79,,
Can I delete my old calendar history?,,40.0,75.0,,90.0,90,3.453783827607845,0.3235294117647058,0.8632822036743164,64.04,9,0.7916666666666666,48,"Yes, you can delete your calendar events one by one, by date range, or all at once by visiting the Calendar section in the Alexa app or on the Amazon website. You can also choose to have your calendar events older than 3 or 18 months deleted automatically.",
Do I have choice or control options for my contacts' information?,,50.0,60.0,90.0,85.0,95,3.665944994887061,0.3733333333333333,0.8869864344596863,82.95,5,0.7317073170731707,41," Yes, you can manage your contacts in the ""Your Account"" section of the website. You can add, update, or delete contacts. If you don't want Alexa to call or message your contacts, you can disable the feature in the Alexa app.
",
Can I hide my email address?,,,90.0,90.0,60.0,90,10.369816700638207,0.4,0.8923332095146179,41.7,13,0.8809523809523809,42," You can manage your email address and other contact information in the ""Your Account"" section of the website. However, you cannot hide it completely as it is required for certain features and services, such as receiving order confirmations and communication from Amazon.
",
I want to change my name.,,65.0,85.0,92.0,50.0,95,2.066182288760249,0.2448979591836734,0.8570531606674194,72.66,8,0.7258064516129032,62," To change your name, you need to update your account information. You can do this by logging into your Amazon account and visiting the ""Your Account"" section. From there, you can edit your personal information, including your name. Keep in mind that changing your name may affect your voice ID, and you may need to retrain Alexa to recognize your new name.
",
I want to edit my phone number.,,70.0,90.0,90.0,70.0,100,4.380833441723301,0.40625,0.8842415809631348,70.13,8,0.8055555555555556,36," To edit your phone number, you can go to the ""Your Account"" section of the Amazon website and click on the ""Contact Information"" tab. From there, you can update your phone number and other contact details.
",
Can you delete information about my time zone?,,85.0,75.0,95.0,70.0,85,1.2581149620896306,0.3448275862068966,0.8750604391098022,42.21,12,0.8095238095238095,42," I'm unable to delete specific types of information for you, but you can manage your content and devices associated with your account to delete that information. For example, you can delete your location information in the Alexa app under Settings > Location.
",
Can you delete my voice recordings?,,80.0,60.0,95.0,98.0,80,2.1831792851719527,0.3585858585858585,0.8921845555305481,64.34,10,0.704225352112676,71,"Yes, you can delete your voice recordings one by one, by date range, by Alexa-enabled device, or all at once. You can also choose to have your voice recordings older than 3 or 18 months deleted automatically. If you choose not to save any voice recordings, we will automatically delete your voice recordings after we process your requests and all of the voice recordings currently in your Voice History as well.",
Are you sharing my age with others?,,50.0,65.0,85.0,70.0,85,4.402591491194746,0.2644628099173554,0.8385177254676819,40.69,10,0.8636363636363636,44," Amazon Europe does not share your personal information, including your age, with others except as described in the privacy notice. This includes sharing with third parties for transactions involving their services, third party service providers, business transfers, and protection of Amazon Europe and others.
",
Who can access information about my appointments?,,40.0,20.0,,,95,2.306418910775959,0.2479338842975206,0.8382335901260376,48.5,9,0.8604651162790697,43," We do not collect or store information about your appointments. The information you can access in your account includes your name, address, payment options, profile information, Prime membership, household settings, and purchase history. For more information, you can refer to the sources provided.
",
Does the company share user's contacts' information with a third party?,,85.0,70.0,95.0,50.0,85,7.005424574632402,0.3209876543209876,0.8597894310951233,36.49,12,0.7415730337078652,89," Amazon shares customers' personal information only as described in their Privacy Notice. This includes transactions involving third parties, where personal information is shared with the third party for the specific transaction. For example, if you order a product from a third-party seller through Amazon, your personal information would be shared with that seller. Amazon also shares personal information with third-party service providers who perform functions on their behalf. These third parties have access to personal information needed to perform their functions, but may not use it for other purposes.
",
Does it save my email contacts and sell it to 3rd parties?,,80.0,50.0,90.0,30.0,75,1.599820287636084,0.2572614107883818,0.8341186046600342,22.68,17,0.7070063694267515,157," Amazon Europe does not sell your personal information to third parties without your consent. However, there are certain situations where your personal information may be disclosed to third parties, such as when you order products from third-party sellers through Amazon's stores, download applications from third-party application providers from Amazon's App Store, or enable third-party skills through Alexa services. In these cases, your personal information is shared with the third party to facilitate the transaction or provide the service. Amazon also uses third-party service providers to perform functions on its behalf, such as fulfilling orders, delivering packages, sending postal mail and email, removing repetitive information from customer lists, analyzing data, providing marketing assistance, providing search results and links (including paid listings and links), processing payments, transmitting content, assessing and managing credit risk, and providing customer service. These third-party service providers have access to personal information needed to perform their functions, but may not use it for other purposes.
",
Do you share my location with other people?,,85.0,70.0,,90.0,92,2.1351764392166768,0.2896551724137931,0.8487844467163086,58.45,9,0.711864406779661,59," We do not share your precise location with third parties without your consent, except as necessary to provide you with the services and features you request. For example, if you use the location feature in Alexa to order a ride, we will share your location with the ride service provider to ensure the ride goes to the correct location.
",
Are you sharing my name?,,25.0,75.0,80.0,,90,0.6155596244213809,0.2926829268292683,0.83697110414505,42.41,12,0.8032786885245902,61," Amazon Europe shares customers' personal information only as described in their privacy notice. This includes transactions involving third parties, third party service providers, business transfers, and protection of Amazon Europe and others. However, you will receive notice when personal information about you might be shared with third parties and you will have an opportunity to choose not to share the information.
",
Who has access to my phone number?,,50.0,65.0,75.0,90.0,90,1.409928902125236,0.2434782608695652,0.8434626460075378,52.9,10,0.7397260273972602,73," Your phone number is used to communicate with you about your orders, account activity, and promotional offers. It is also used to enable certain features, such as voice ID for Alexa. Access to your phone number is granted to Amazon employees and contractors who need it to provide and improve these services. They are required to maintain the confidentiality of your information and are not authorized to use it for any other purpose.
",
Who has access to my time zone?,,80.0,50.0,85.0,60.0,80,2.7392191591505064,0.3016759776536313,0.8380069732666016,28.17,15,0.7211538461538461,104," Your time zone is a piece of information that is associated with your account. Access to this information is controlled by Amazon's privacy policy and data protection practices. According to the sources provided, Amazon participates in the EU-US and Swiss-US Data Privacy Frameworks, which means that they have committed to adhering to certain privacy principles when handling personal information from European Union and European Economic Area member countries, the United Kingdom, and Switzerland. Amazon also states that they sometimes provide personal information to third parties to perform services on their behalf, but these third parties must also comply with Amazon's Data Privacy Framework obligations.
",
Who can access my voice recordings?,,70.0,75.0,100.0,95.0,85,4.13382579269592,0.4186046511627906,0.8679090738296509,43.36,15,0.6987951807228916,83," Your voice recordings are associated with your Amazon account and can be accessed by you through the Alexa Privacy settings in the Alexa app or on the Alexa Privacy Settings website. Amazon employees do have access to voice recordings for the purpose of improving Alexa's speech recognition and natural language understanding. However, access to voice recordings is limited to a small number of employees who are trained to handle such data and are required to adhere to strict data security and privacy protocols.
",
What does the privacy policy say in regards to saving my name?,,85.0,70.0,,40.0,82,0.9266206015519924,0.2159090909090909,0.8287783265113831,33.24,13,0.7777777777777778,63," The privacy policy states that personal information is kept for as long as it is required in order to fulfill the relevant purposes described in the policy, or as otherwise communicated to you. It also mentions that for example, transaction history is retained to improve the relevancy of products and content recommended. However, it does not specifically mention the name in this context.
",
Why do you know my age?,,80.0,60.0,,80.0,95,22.985395196980807,0.4705882352941176,0.8698092699050903,41.36,10,0.8461538461538461,39," We don't have access to your age. The information we collect includes your name, address, payment options, profile information, Prime membership, household settings, and purchase history. We use this information to provide and continually improve our products and services.
",
Why do you know my calendar appointments?,,70.0,50.0,100.0,,95,2.3294227591923544,0.2258064516129032,0.8411020636558533,67.08,7,0.7619047619047619,42," We do not access or store your calendar information unless you have given us permission to do so. If you use the Alexa Calendar Skill, you can add, modify, and delete calendar events, and Alexa can read your calendar events to you.
",
Why did you add all my contacts' phone numbers to my contact book?,,,60.0,100.0,95.0,95,0.9480120895652328,0.3214285714285714,0.8581019639968872,62.68,8,0.8627450980392157,51," We do not automatically import your contacts' phone numbers to your contact book. However, if you choose to use certain features, such as the Alexa Calling and Messaging feature, you can add contacts by giving us their names or phone numbers. We process this information to enable and improve these features.
",
Why do you know my email address?,,95.0,75.0,95.0,70.0,90,2.571598615510653,0.3703703703703703,0.850054144859314,23.09,17,0.8387096774193549,31," We use your email address to communicate with you, for example, to send you updates about your orders, notifications about special offers, and other important information related to your Amazon account.
",
For what purpose is my name collected?,,90.0,90.0,60.0,,90,5.378152324274614,0.3833333333333333,0.8815739154815674,57.27,11,0.7619047619047619,42," Your name is collected to provide, troubleshoot, and improve Amazon Services. It's used to identify you and to communicate with you about orders, products, and services. It's also used to personalize your experience with Amazon Services, such as voice recognition for Alexa.
",
What do you need my phone number for?,,40.0,40.0,90.0,85.0,100,0.623707138606565,0.2569832402234637,0.8375598192214966,56.08,11,0.723404255319149,47," We use your phone number to communicate with you about orders, deliveries, and other important information related to your Amazon account. We may also use it to contact you if we need to resolve a problem with your order or if there's an issue with your account.
",
Do you need to know my time zone?,,90.0,90.0,90.0,100.0,100,3.0278098260720054,0.2702702702702703,0.8631171584129333,55.74,10,0.8387096774193549,31," Yes, knowing your time zone helps us to deliver information and services relevant to your location. For example, it allows us to provide you with local weather updates, news, and promotions.
",
Why do you record my voice?,,100.0,60.0,100.0,100.0,85,3.5380823243808406,0.3723404255319149,0.8719658851623535,64.2,8,0.6612903225806451,62," We record your voice to provide and improve our services. For example, we use your voice recordings to recognize your voice and respond to your requests. We also use your voice recordings to train our speech recognition and natural language understanding systems using machine learning. This helps Alexa understand and respond to a wide range of customer requests and improve over time.
",
Can the assistant pull information from my phone's calendar?,,95.0,70.0,95.0,100.0,100,3.679073892694009,0.438095238095238,0.894620954990387,71.14,7,0.6862745098039216,51," Yes, with your permission, Alexa can access your calendar on your phone to help you manage your schedule. You can ask Alexa to add, modify, or delete calendar events. You can also ask Alexa to check your schedule for the day, find upcoming events, or set reminders based on your calendar.
",
Does the assistant have access to my contacts?,,85.0,70.0,100.0,85.0,90,2.7016289664559854,0.356687898089172,0.8751174807548523,64.54,10,0.7446808510638298,47," No, by default, Alexa does not have access to your contacts. However, you can give Alexa permission to access your contacts in your device's settings, and then Alexa can use your contacts to help you make calls or send messages using the Drop In and Announcements features.
",
What's my address?,,35.0,90.0,100.0,80.0,95,2.425342956367753,0.2413793103448276,0.8142614960670471,68.77,5,0.9545454545454546,22," I cannot directly access or provide your address. However, you can find it in the ""Your Account"" section of the Amazon website.
",
What is my name?,,80.0,75.0,95.0,50.0,90,1.640442611912737,0.2268041237113402,0.8565307259559631,56.25,10,0.9,30," I'm unable to access or provide your name directly. However, you can find and manage your personal information, including your name, in the ""Your Account"" section of the Amazon website.
",
Do you know my phone number?,,90.0,80.0,85.0,,90,3.879506144619563,0.3269230769230769,0.8497810363769531,63.02,7,0.74,50," I don't have access to your personal information unless it has been shared with me in the course of providing Amazon Services or you have given me permission to access it. However, I can help you find where to access or change your phone number in your Amazon account settings.
",
How do you process my audio recordings?,,90.0,65.0,100.0,100.0,90,1.2710920174412363,0.2857142857142857,0.8431186676025391,51.72,12,0.6936936936936937,111," When you speak to Alexa, a recording of what you asked Alexa is sent to Amazon's cloud, where we process your request and other information to respond to you. For example, when you ask, ""Alexa, play top hits on Amazon Music,"" we use the recording of your request and information from Amazon Music to play top hits. We also use your recordings to improve Alexa's speech recognition and natural language understanding systems using machine learning. This training relies in part on supervised machine learning, where humans review an extremely small sample of requests to help Alexa understand the correct interpretation of a request and provide the appropriate response in the future.
",
Does the assistant turn on my mic without my knowledge?,,60.0,70.0,95.0,90.0,90,2.7871477142648784,0.3181818181818182,0.8498484492301941,63.39,8,0.6615384615384615,65," No, the assistant does not turn on your mic without your knowledge. The device detects the wake word by identifying acoustic patterns that match the wake word. No audio is stored or sent to the cloud unless the device detects the wake word or Alexa is activated by pressing a button. You can also turn off the microphone manually by pressing the microphone off button.
",
Is my calendar stored on the device?,,90.0,90.0,85.0,90.0,90,4.45967267302648,0.3835616438356165,0.8987262845039368,46.1,12,0.74,50," By default, Alexa does not access or store your calendar data on your device. However, you can allow Alexa to access your calendar data in the cloud, such as from Google Calendar or Outlook Calendar, so that Alexa can provide you with calendar information, such as upcoming appointments and events.
",
Do they keep my contacts' information?,,60.0,30.0,70.0,100.0,86,1.1114006855200975,0.1265822784810126,0.8274075984954834,37.64,18,0.84,50," Yes, they might receive information about your contacts from other sources, such as updated delivery and address information from carriers, for the purpose of correcting their records and delivering your next purchase more easily. However, they do not share this information with third parties for marketing purposes without your consent.
",
How long will my location history be kept?,,40.0,85.0,90.0,85.0,95,1.7589379361978317,0.3149606299212598,0.8362773060798645,24.61,18,0.7627118644067796,59," We keep your location history for as long as it is required in order to fulfil the relevant purposes described in our Privacy Notice, or as otherwise communicated to you. For example, we may keep your location history to enable location-based services, to improve the relevancy of products and content we recommend, or to provide you with location-specific information.
",
For how long would my name be stored in the database?,,85.0,52.0,80.0,50.0,90,44.920984586736026,0.6393442622950819,0.9245262742042542,26.98,-1,0.8028169014084507,71," We keep your personal information to enable your continued use of Amazon Services, for as long as it is required in order to fulfill the relevant purposes described in our Privacy Notice, or as otherwise communicated to you. For example, we retain your transaction history so that you can review past purchases and what addresses you have shipped orders to, and to improve the relevancy of products and content we recommend.
",
Is the information on my time zone stored?,,40.0,70.0,50.0,95.0,95,1.2812155539037435,0.3260869565217391,0.8417648077011108,42.21,12,0.7317073170731707,41," Yes, we collect and store information about your time zone to provide you with the most accurate and relevant information and services. For example, we use your time zone to determine when to send you notifications or to display localized information.
",
Do you store my voice recordings locally or on a server?,,95.0,55.0,95.0,85.0,80,4.971008467383223,0.4141689373297003,0.887879490852356,75.54,10,0.6666666666666666,84," Alexa is designed to process your requests locally on your device, but for certain features, Alexa will send audio to the cloud. For example, when you make a call or send a message or announcement via Alexa, or when you enable Alexa Emergency Assist, including for Smart Alerts, Alexa will send audio to the cloud. Text transcripts of your requests are also sent to the cloud so Alexa can respond to your request. You can review and delete those transcripts in your Voice History.
",
Can I delete my old calendar history?,,30.0,45.0,,55.0,85,1.392190416318876,0.25,0.8576306700706482,61.16,12,0.8108108108108109,74,,"I'm unable to directly answer that question based on the provided sources. However, the sources do mention that you can delete voice recordings associated with your account by date range. If your calendar history is stored as voice recordings, you might be able to delete it by selecting and deleting the corresponding voice recordings. For more specific information about managing your calendar, you may want to check the Alexa app or Amazon's help center."
Do I have choice or control options for my contacts' information?,,60.0,85.0,100.0,67.0,90,0.6129787380401779,0.1923076923076923,0.8522138595581055,30.57,11,0.8913043478260869,46,,"Based on the information provided, it appears that you can manage your own personal information on Amazon's platform. However, there is no explicit mention of controlling or managing contacts' information. If you have concerns about contacts' information, I would recommend contacting Amazon's customer service for clarification."
Can I hide my email address?,,75.0,70.0,,,85,8.704940168751778,0.3950617283950617,0.8756221532821655,61.97,10,0.7924528301886793,53,,"I cannot directly answer that question from the provided sources. However, the sources do mention that you can access and manage your email address in the ""Your Account"" section of the website. If you have specific concerns about hiding your email address, you may want to explore the privacy settings in that section."
I want to change my name.,,60.0,55.0,70.0,50.0,80,2.0939634735597017,0.3956043956043956,0.857254147529602,70.43,8,0.7924528301886793,53,,"Based on the information provided, you can update your name in the ""Your Account"" section of Amazon's website. However, I don't have the exact link or process detailed in the sources. You should click here for a list of examples that you can access and look for the option to update your name."
I want to edit my phone number.,,60.0,0.0,,90.0,95,11.854385253323915,0.4799999999999999,0.8928054571151733,57.61,10,0.8636363636363636,22,,"Based on the information provided in Source 1, you can edit your phone number in the ""Your Account"" section of the website."
